OBJECTID;date_;time_value_ms;time_uncertainty;latitude_value;longitude_value;depth_value;magnitude_value_M;quality_associatedPhaseCount;quality_usedPhaseCount;quality_associatedStationCount;quality_usedStationCount;quality_standardError;quality_azimuthalGap;quality_maximumDistance;quality_minimumDistance;quality_medianDistance;Tiempo
142;20/4/16 10:03;555.843.000.000.000.000.000;1.018.996.990.000.000;0.666889670000000;-80.250.030.519.999.800;7.627.290.250.000.000;4.014.538.590.000.000;59.000.000.000.000.000;59.000.000.000.000.000;57.000.000.000.000.000;57.000.000.000.000.000;0.976222010000000;264.970.310.199.999.000;2.819.506.880.000.000;0.588952600000000;2.205.254.080.000.000;20/4/16 10:03
143;20/4/16 16:30;661.634.000.000.000.000.000;0.681303270000000;-0.136642310000000;-80.531.311.040.000.000;2.730.765.100.000.000;4.849.120.600.000.000;70.000.000.000.000.000;70.000.000.000.000.000;69.000.000.000.000.000;69.000.000.000.000.000;0.900642060000000;202.893.566.099.998.000;3.620.549.440.000.000;0.348114640000000;2.305.587.290.000.000;20/4/16 16:30
144;20/4/16 21:30;54.361.000.000.000.000.000;0.446968060000000;0.528108420000000;-79.846.473.689.999.800;3.997.655.390.000.000;5.397.471.790.000.000;87.000.000.000.000.000;80.000.000.000.000.000;84.000.000.000.000.000;79.000.000.000.000.000;0.990540760000000;193.690.105.399.999.000;5.401.654.720.000.000;0.421836230000000;1.908.983.350.000.000;20/4/16 21:30
145;20/4/16 22:31;944.387.000.000.000.000.000;0.643025460000000;-0.314902510000000;-80.950.675.959.999.800;10.000.000.000.000.000;5.011.601.290.000.000;79.000.000.000.000.000;71.000.000.000.000.000;75.000.000.000.000.000;69.000.000.000.000.000;0.936710500000000;240.013.915.999.999.000;3.504.919.050.000.000;0.743634160000000;2.661.632.300.000.000;20/4/16 22:31
146;20/4/16 22:37;183.956.000.000.000.000.000;1.068.683.410.000.000;0.775986430000000;-80.204.048.159.999.900;9.329.177.860.000.000;3.952.122.460.000.000;35.000.000.000.000.000;29.000.000.000.000.000;31.000.000.000.000.000;28.000.000.000.000.000;0.896005660000000;269.597.999.599.999.000;2.693.385.360.000.000;0.504729270000000;2.212.401.390.000.000;20/4/16 22:37
147;21/4/16 01:39;922.995.000.000.000.000.000;0.752779900000000;0.878787820000000;-80.598.663.329.999.800;3.500.000.000.000.000;3.842.759.000.000.000;64.000.000.000.000.000;54.000.000.000.000.000;61.000.000.000.000.000;52.000.000.000.000.000;0.590746050000000;285.131.797.800.000.000;3.196.514.610.000.000;0.875812290000000;2.601.373.200.000.000;21/4/16 01:39
148;21/4/16 04:32;443.891.000.000.000.000.000;1.032.538.500.000.000;0.400836770000000;-80.572.189.330.000.000;3.000.000.000.000.000;4.006.483.230.000.000;42.000.000.000.000.000;40.000.000.000.000.000;40.000.000.000.000.000;38.000.000.000.000.000;0.644088730000000;284.555.282.600.000.000;3.098.596.810.000.000;0.757241430000000;2.550.873.040.000.000;21/4/16 04:32
149;21/4/16 04:53;392.801.000.000.000.000.000;1.132.157.760.000.000;0.798220990000000;-80.459.152.219.999.800;2.341.139.790.000.000;3.968.049.630.000.000;49.000.000.000.000.000;48.000.000.000.000.000;44.000.000.000.000.000;43.000.000.000.000.000;0.889959870000000;272.859.619.099.999.000;2.949.294.570.000.000;0.746962310000000;2.168.806.080.000.000;21/4/16 04:53
150;21/4/16 12:31;673.280.000.000.000.000.000;0.569547010000000;-0.103078370000000;-80.300.170.899.999.800;7.049.921.990.000.000;4.636.482.450.000.000;63.000.000.000.000.000;63.000.000.000.000.000;62.000.000.000.000.000;62.000.000.000.000.000;0.868351700000000;190.722.709.700.000.000;3.524.519.920.000.000;0.187573150000000;2.165.435.310.000.000;21/4/16 12:31
151;21/4/16 13:14;339.383.000.000.000.000.000;1.231.554.990.000.000;-0.100321240000000;-80.916.290.279.999.800;8.201.335.909.999.990;4.299.178.820.000.000;47.000.000.000.000.000;47.000.000.000.000.000;46.000.000.000.000.000;46.000.000.000.000.000;0.876074300000000;247.973.907.500.000.000;3.595.884.080.000.000;0.727077130000000;2.774.014.470.000.000;21/4/16 13:14
152;22/4/16 03:03;367.429.000.000.000.000.000;0.607898640000000;-0.184367300000000;-80.771.827.700.000.000;10.000.000.000.000.000;6.160.259.230.000.000;98.000.000.000.000.000;86.000.000.000.000.000;92.000.000.000.000.000;83.000.000.000.000.000;1.097.328.630.000.000;223.155.101.800.000.000;4.924.330.240.000.000;0.569387440000000;2.599.366.430.000.000;22/4/16 03:03
153;22/4/16 03:08;244.126.000.000.000.000.000;0.755312940000000;-0.136589350000000;-80.283.821.110.000.000;10.000.000.000.000.000;5.004.181.790.000.000;59.000.000.000.000.000;53.000.000.000.000.000;59.000.000.000.000.000;53.000.000.000.000.000;1.035.221.730.000.000;210.050.908.999.999.000;3.487.555.980.000.000;0.150555340000000;2.124.415.870.000.000;22/4/16 03:08
154;22/4/16 03:10;143.826.000.000.000.000.000;1.029.528.080.000.000;-0.282057520000000;-80.693.023.679.999.800;0.841497720000000;4.863.540.130.000.000;62.000.000.000.000.000;46.000.000.000.000.000;62.000.000.000.000.000;46.000.000.000.000.000;1.036.797.750.000.000;214.968.589.799.998.000;3.028.843.880.000.000;0.484720530000000;2.327.362.540.000.000;22/4/16 03:10
155;22/4/16 03:20;188.000.000.000.000.000.000;0.767814230000000;-0.181899070000000;-80.877.387.999.999.800;4.172.017.570.000.000;6.012.367.920.000.000;95.000.000.000.000.000;86.000.000.000.000.000;89.000.000.000.000.000;81.000.000.000.000.000;1.021.183.870.000.000;230.425.968.200.000.000;3.563.228.130.000.000;0.492560480000000;2.568.995.000.000.000;22/4/16 03:20
156;22/4/16 04:04;691.715.000.000.000.000.000;0.729444100000000;-0.102288020000000;-80.697.135.930.000.000;12.488.497.730.000.000;4.237.520.020.000.000;77.000.000.000.000.000;70.000.000.000.000.000;73.000.000.000.000.000;68.000.000.000.000.000;1.031.571.120.000.000;220.246.955.899.998.000;4.977.618.220.000.000;0.389555160000000;2.412.188.050.000.000;22/4/16 04:04
157;22/4/16 04:31;403.578.000.000.000.000.000;0.621575250000000;-0.245500520000000;-80.754.959.110.000.000;0.474541220000000;5.183.650.080.000.000;72.000.000.000.000.000;72.000.000.000.000.000;67.000.000.000.000.000;67.000.000.000.000.000;0.910582000000000;220.420.700.100.000.000;3.351.553.920.000.000;0.355042490000000;2.389.746.190.000.000;22/4/16 04:31
158;22/4/16 05:37;150.576.000.000.000.000.000;1.003.231.250.000.000;-0.229158790000000;-80.500.419.620.000.000;6.804.996.970.000.000;4.245.436.860.000.000;74.000.000.000.000.000;60.000.000.000.000.000;68.000.000.000.000.000;59.000.000.000.000.000;0.944464540000000;220.794.086.499.999.000;3.324.849.370.000.000;0.669956330000000;2.262.196.540.000.000;22/4/16 05:37
159;22/4/16 05:52;283.352.000.000.000.000.000;1.042.943.490.000.000;-0.097813070000000;-80.634.773.249.999.800;6.315.569.880.000.000;3.802.204.100.000.000;42.000.000.000.000.000;39.000.000.000.000.000;39.000.000.000.000.000;38.000.000.000.000.000;0.730836350000000;216.019.111.600.000.000;2.630.506.040.000.000;0.458501700000000;2.249.105.220.000.000;22/4/16 05:52
160;22/4/16 05:55;79.319.000.000.000.000.000;0.700796870000000;-0.171201770000000;-80.276.435.849.999.800;12.918.415.070.000.000;3.513.154.780.000.000;32.000.000.000.000.000;25.000.000.000.000.000;27.000.000.000.000.000;22.000.000.000.000.000;0.706499330000000;257.925.048.800.000.000;4.796.523.090.000.000;0.117588830000000;1.943.698.650.000.000;22/4/16 05:55
161;22/4/16 06:17;7.380.000.000.000.000.000;1.051.071.920.000.000;-0.066832890000000;-80.802.459.720.000.000;1.705.789.800.000.000;4.255.162.690.000.000;62.000.000.000.000.000;60.000.000.000.000.000;62.000.000.000.000.000;60.000.000.000.000.000;0.997286170000000;228.365.379.300.000.000;3.834.725.140.000.000;0.626610820000000;2.521.023.990.000.000;22/4/16 06:17
162;22/4/16 07:12;397.251.000.000.000.000.000;0.807332110000000;-0.398804810000000;-80.979.728.699.999.800;9.436.183.930.000.000;3.660.962.970.000.000;43.000.000.000.000.000;26.000.000.000.000.000;38.000.000.000.000.000;22.000.000.000.000.000;0.920286980000000;256.116.188.000.000.000;3.575.328.110.000.000;1.137.764.810.000.000;2.595.393.420.000.000;22/4/16 07:12
163;22/4/16 07:43;28.020.000.000.000.000.000;0.724257930000000;0.629563750000000;-80.077.529.909.999.800;2.852.165.940.000.000;3.839.670.180.000.000;50.000.000.000.000.000;49.000.000.000.000.000;46.000.000.000.000.000;46.000.000.000.000.000;1.040.147.280.000.000;211.459.278.100.000.000;2.793.781.760.000.000;0.465232340000000;2.080.576.180.000.000;22/4/16 07:43
164;22/4/16 08:52;383.541.000.000.000.000.000;0.708594980000000;-0.152060610000000;-81.023.284.910.000.000;10.000.000.000.000.000;5.201.954.380.000.000;65.000.000.000.000.000;57.000.000.000.000.000;61.000.000.000.000.000;54.000.000.000.000.000;0.933559460000000;240.433.223.700.000.000;3.329.253.670.000.000;0.942314030000000;2.663.251.160.000.000;22/4/16 08:52
165;22/4/16 10:58;802.993.000.000.000.000.000;0.825260320000000;-1.204.342.010.000.000;-81.262.039.180.000.000;2.821.127.180.000.000;3.743.554.470.000.000;42.000.000.000.000.000;34.000.000.000.000.000;37.000.000.000.000.000;30.000.000.000.000.000;0.963640570000000;264.452.938.099.999.000;4.205.463.410.000.000;0.592991170000000;3.016.456.130.000.000;22/4/16 10:58
166;22/4/16 11:17;905.735.000.000.000.000.000;0.519957200000000;-0.043255950000000;-80.102.867.130.000.000;2.901.782.040.000.000;3.975.831.330.000.000;69.000.000.000.000.000;61.000.000.000.000.000;67.000.000.000.000.000;60.000.000.000.000.000;0.904630700000000;175.940.187.500.000.000;3.480.370.760.000.000;0.246818800000000;1.930.296.300.000.000;22/4/16 11:17
167;22/4/16 12:47;677.635.000.000.000.000.000;0.983662730000000;0.569885850000000;-79.984.893.799.999.800;9.351.590.160.000.000;3.512.712.980.000.000;45.000.000.000.000.000;44.000.000.000.000.000;43.000.000.000.000.000;42.000.000.000.000.000;0.885056050000000;224.476.738.000.000.000;2.550.452.710.000.000;0.446172450000000;1.928.670.170.000.000;22/4/16 12:47
168;22/4/16 13:36;968.895.000.000.000.000.000;0.543846050000000;0.225094410000000;-80.508.255.000.000.000;5.000.000.000.000.000;4.440.430.680.000.000;56.000.000.000.000.000;45.000.000.000.000.000;54.000.000.000.000.000;44.000.000.000.000.000;0.752005650000000;219.402.641.300.000.000;2.916.053.530.000.000;0.574092750000000;2.262.530.330.000.000;22/4/16 13:36
169;22/4/16 20:19;715.199.000.000.000.000.000;0.552783250000000;-1.518.904.450.000.000;-80.904.747.009.999.800;10.000.000.000.000.000;3.796.149.000.000.000;38.000.000.000.000.000;36.000.000.000.000.000;36.000.000.000.000.000;34.000.000.000.000.000;0.858737560000000;252.247.654.000.000.000;3.561.936.620.000.000;0.132151800000000;2.544.323.440.000.000;22/4/16 20:19
170;22/4/16 22:05;56.952.000.000.000.000.000;0.608917630000000;-1.424.151.060.000.000;-80.942.276.000.000.000;10.000.000.000.000.000;4.524.635.250.000.000;70.000.000.000.000.000;59.000.000.000.000.000;69.000.000.000.000.000;58.000.000.000.000.000;0.879370630000000;228.742.424.000.000.000;3.859.696.390.000.000;0.205717820000000;2.627.950.670.000.000;22/4/16 22:05
171;23/4/16 02:58;421.473.000.000.000.000.000;0.643958140000000;-1.696.666.720.000.000;-77.770.179.749.999.800;1.586.791.640.000.000;3.666.372.500.000.000;42.000.000.000.000.000;37.000.000.000.000.000;39.000.000.000.000.000;35.000.000.000.000.000;0.439245300000000;192.917.725.600.000.000;2.148.630.140.000.000;0.325209770000000;1.082.244.990.000.000;23/4/16 02:58
172;23/4/16 07:50;712.579.000.000.000.000.000;1.346.121.360.000.000;0.192058650000000;-80.338.172.909.999.800;10.000.000.000.000.000;3.971.617.250.000.000;45.000.000.000.000.000;45.000.000.000.000.000;44.000.000.000.000.000;44.000.000.000.000.000;1.023.361.570.000.000;235.602.199.600.000.000;2.820.347.070.000.000;0.474857180000000;2.102.306.840.000.000;23/4/16 07:50
173;23/4/16 23:49;20.262.000.000.000.000.000;1.824.098.960.000.000;0.358905140000000;-80.464.660.640.000.000;5.000.000.000.000.000;3.647.815.850.000.000;16.000.000.000.000.000;16.000.000.000.000.000;15.000.000.000.000.000;15.000.000.000.000.000;1.090.958.510.000.000;254.668.697.400.000.000;2.435.471.540.000.000;0.673179860000000;1.926.660.540.000.000;23/4/16 23:49
174;23/4/16 23:50;397.160.000.000.000.000.000;1.042.061.690.000.000;0.358955650000000;-80.464.996.339.999.900;5.052.595.140.000.000;3.580.933.010.000.000;19.000.000.000.000.000;16.000.000.000.000.000;16.000.000.000.000.000;13.000.000.000.000.000;0.639206340000000;254.708.492.299.998.000;2.838.685.990.000.000;0.673354090000000;2.104.669.570.000.000;23/4/16 23:50
175;24/4/16 07:22;51.514.000.000.000.000.000;0.327623240000000;0.698977110000000;-79.725.463.869.999.800;6.016.550.060.000.000;4.388.186.430.000.000;74.000.000.000.000.000;73.000.000.000.000.000;72.000.000.000.000.000;71.000.000.000.000.000;0.937866850000000;153.532.125.900.000.000;2.556.110.860.000.000;0.182492330000000;1.830.593.820.000.000;24/4/16 07:22
176;24/4/16 15:46;540.459.000.000.000.000.000;1.515.282.110.000.000;0.202039900000000;-80.423.706.050.000.000;4.520.913.600.000.000;3.921.932.950.000.000;34.000.000.000.000.000;27.000.000.000.000.000;32.000.000.000.000.000;26.000.000.000.000.000;0.619963930000000;248.605.369.599.998.000;2.559.088.950.000.000;0.513948860000000;2.108.207.460.000.000;24/4/16 15:46
177;24/4/16 23:45;146.056.000.000.000.000.000;1.680.038.560.000.000;-0.045716550000000;-80.507.514.950.000.000;10.369.779.590.000.000;4.088.435.070.000.000;46.000.000.000.000.000;46.000.000.000.000.000;46.000.000.000.000.000;46.000.000.000.000.000;0.860376140000000;281.443.229.700.000.000;3.682.568.550.000.000;0.371595230000000;2.298.236.370.000.000;24/4/16 23:45
178;25/4/16 00:24;925.625.000.000.000.000.000;1.471.273.650.000.000;-0.112232470000000;-80.341.316.219.999.800;5.000.000.000.000.000;3.747.291.790.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;0.804013150000000;277.331.367.500.000.000;3.537.983.890.000.000;1.150.474.190.000.000;2.122.493.980.000.000;25/4/16 00:24
179;25/4/16 07:06;895.041.000.000.000.000.000;0.442887340000000;-0.069870110000000;-80.048.332.209.999.800;5.136.467.930.000.000;4.547.638.410.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;51.000.000.000.000.000;0.980638470000000;185.923.839.600.000.000;2.427.895.550.000.000;0.253613620000000;1.800.746.680.000.000;25/4/16 07:06
180;25/4/16 07:46;265.799.000.000.000.000.000;0.827481070000000;0.601177040000000;-80.535.545.350.000.000;5.342.922.210.000.000;4.227.166.350.000.000;62.000.000.000.000.000;62.000.000.000.000.000;59.000.000.000.000.000;59.000.000.000.000.000;0.823395340000000;268.528.488.200.000.000;3.241.395.710.000.000;0.876009580000000;2.485.914.470.000.000;25/4/16 07:46
181;25/4/16 09:55;502.767.000.000.000.000.000;1.328.020.520.000.000;-0.806851510000000;-81.310.966.489.999.800;5.000.000.000.000.000;4.638.245.970.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;0.854211960000000;268.620.368.999.999.000;3.709.049.460.000.000;0.631834210000000;2.852.774.140.000.000;25/4/16 09:55
182;25/4/16 11:55;579.170.000.000.000.000.000;1.353.296.480.000.000;-0.869122620000000;-81.011.985.780.000.000;5.000.000.000.000.000;3.581.824.910.000.000;39.000.000.000.000.000;39.000.000.000.000.000;39.000.000.000.000.000;39.000.000.000.000.000;0.938376800000000;259.149.803.200.000.000;4.384.595.390.000.000;0.711830380000000;2.632.304.670.000.000;25/4/16 11:55
183;25/4/16 13:50;2.933.000.000.000.000.000;0.773036470000000;-1.158.804.770.000.000;-81.151.298.519.999.800;4.599.999.900.000.000;4.247.920.000.000.000;46.000.000.000.000.000;38.000.000.000.000.000;43.000.000.000.000.000;37.000.000.000.000.000;0.681191430000000;255.347.019.200.000.000;4.190.643.790.000.000;0.469541580000000;2.792.862.650.000.000;25/4/16 13:50
184;25/4/16 19:38;790.368.000.000.000.000.000;0.987084010000000;-0.152468980000000;-80.506.294.249.999.800;2.953.711.750.000.000;3.953.963.210.000.000;62.000.000.000.000.000;50.000.000.000.000.000;57.000.000.000.000.000;49.000.000.000.000.000;0.825176110000000;218.900.119.800.000.000;3.043.416.740.000.000;0.319074570000000;2.170.916.560.000.000;25/4/16 19:38
185;25/4/16 21:15;586.052.000.000.000.000.000;0.560327280000000;-0.895980660000000;-80.844.787.600.000.000;10.000.000.000.000.000;5.001.974.020.000.000;70.000.000.000.000.000;64.000.000.000.000.000;66.000.000.000.000.000;62.000.000.000.000.000;1.034.804.090.000.000;226.175.991.100.000.000;3.575.500.490.000.000;0.118900090000000;2.441.575.530.000.000;25/4/16 21:15
186;25/4/16 21:29;11.737.000.000.000.000.000;0.639274030000000;-1.075.592.640.000.000;-81.435.386.660.000.000;10.000.000.000.000.000;4.102.670.550.000.000;55.000.000.000.000.000;48.000.000.000.000.000;52.000.000.000.000.000;46.000.000.000.000.000;0.923014700000000;261.119.472.499.999.000;4.403.922.560.000.000;1.465.874.910.000.000;3.048.807.140.000.000;25/4/16 21:29
187;26/4/16 03:57;814.900.000.000.000.000.000;1.337.034.700.000.000;0.477879640000000;-80.079.101.559.999.800;9.422.615.049.999.990;3.558.952.760.000.000;22.000.000.000.000.000;22.000.000.000.000.000;21.000.000.000.000.000;21.000.000.000.000.000;0.681521490000000;233.909.885.400.000.000;2.068.382.030.000.000;0.562370600000000;1.619.987.250.000.000;26/4/16 03:57
188;26/4/16 07:22;352.998.000.000.000.000.000;1.237.853.300.000.000;-1.275.383.590.000.000;-81.210.556.030.000.000;1.029.505.610.000.000;4.199.792.910.000.000;69.000.000.000.000.000;46.000.000.000.000.000;68.000.000.000.000.000;46.000.000.000.000.000;0.468659790000000;241.605.320.000.000.000;4.118.601.800.000.000;0.511066790000000;2.861.801.860.000.000;26/4/16 07:22
189;26/4/16 15:50;521.332.000.000.000.000.000;1.632.363.220.000.000;0.365859810000000;-80.622.787.480.000.000;6.653.747.560.000.000;4.568.668.100.000.000;44.000.000.000.000.000;44.000.000.000.000.000;42.000.000.000.000.000;42.000.000.000.000.000;0.980785640000000;271.177.906.000.000.000;3.094.214.680.000.000;0.753547310000000;2.409.683.940.000.000;26/4/16 15:50
190;26/4/16 16:11;966.247.000.000.000.000.000;1.230.681.100.000.000;0.338334320000000;-80.630.195.619.999.800;10.000.000.000.000.000;3.792.847.880.000.000;24.000.000.000.000.000;24.000.000.000.000.000;22.000.000.000.000.000;22.000.000.000.000.000;0.915017310000000;291.003.852.800.000.000;3.003.858.810.000.000;0.735088110000000;2.376.586.910.000.000;26/4/16 16:11
191;26/4/16 19:17;338.924.000.000.000.000.000;1.411.813.160.000.000;0.259675770000000;-80.392.715.449.999.800;4.302.401.540.000.000;3.793.607.310.000.000;55.000.000.000.000.000;43.000.000.000.000.000;52.000.000.000.000.000;42.000.000.000.000.000;0.897146680000000;244.269.485.500.000.000;2.795.517.450.000.000;0.555412410000000;2.166.889.430.000.000;26/4/16 19:17
192;26/4/16 21:33;133.925.000.000.000.000.000;0.759618480000000;-0.507030010000000;-80.869.537.350.000.000;10.000.000.000.000.000;4.186.656.530.000.000;55.000.000.000.000.000;49.000.000.000.000.000;54.000.000.000.000.000;48.000.000.000.000.000;0.830302050000000;249.370.086.700.000.000;3.278.808.590.000.000;0.702423160000000;2.580.762.150.000.000;26/4/16 21:33
193;26/4/16 21:42;217.171.000.000.000.000.000;1.004.769.510.000.000;0.575799640000000;-80.278.038.019.999.800;7.669.488.430.000.000;4.019.036.080.000.000;60.000.000.000.000.000;59.000.000.000.000.000;57.000.000.000.000.000;56.000.000.000.000.000;0.864772710000000;241.958.457.900.000.000;2.769.349.100.000.000;0.658334080000000;2.231.238.600.000.000;26/4/16 21:42
194;26/4/16 21:58;701.264.000.000.000.000.000;0.488918560000000;-0.142287360000000;-80.987.899.780.000.000;10.000.000.000.000.000;5.623.734.230.000.000;76.000.000.000.000.000;66.000.000.000.000.000;72.000.000.000.000.000;62.000.000.000.000.000;0.833637950000000;249.707.179.999.999.000;4.324.291.230.000.000;0.789304080000000;2.703.630.690.000.000;26/4/16 21:58
195;26/4/16 23:08;618.059.000.000.000.000.000;0.817579530000000;0.273836940000000;-80.324.592.589.999.800;10.417.296.410.000.000;3.935.027.620.000.000;51.000.000.000.000.000;43.000.000.000.000.000;48.000.000.000.000.000;40.000.000.000.000.000;0.941146010000000;290.684.249.900.000.000;2.726.236.580.000.000;0.648775880000000;2.145.249.370.000.000;26/4/16 23:08
196;26/4/16 23:36;666.953.000.000.000.000.000;1.697.850.940.000.000;-0.609970090000000;-80.764.671.329.999.800;19.112.819.670.000.000;3.639.884.550.000.000;48.000.000.000.000.000;38.000.000.000.000.000;46.000.000.000.000.000;37.000.000.000.000.000;0.977918270000000;300.404.800.400.000.000;3.475.768.570.000.000;0.955473180000000;2.529.261.110.000.000;26/4/16 23:36
197;27/4/16 00:08;489.907.000.000.000.000.000;0.678409800000000;-0.570813180000000;-80.813.674.930.000.000;10.000.000.000.000.000;4.375.485.630.000.000;78.000.000.000.000.000;67.000.000.000.000.000;75.000.000.000.000.000;65.000.000.000.000.000;1.031.024.210.000.000;228.278.545.400.000.000;3.554.990.530.000.000;0.675859390000000;2.498.278.620.000.000;27/4/16 00:08
198;27/4/16 00:39;158.901.000.000.000.000.000;0.823235890000000;0.219658150000000;-80.248.352.049.999.800;5.000.000.000.000.000;4.014.184.320.000.000;54.000.000.000.000.000;54.000.000.000.000.000;54.000.000.000.000.000;54.000.000.000.000.000;0.899648270000000;217.833.698.300.000.000;3.167.979.480.000.000;0.485861540000000;2.119.051.220.000.000;27/4/16 00:39
199;27/4/16 07:08;356.489.000.000.000.000.000;1.155.987.840.000.000;-1.108.331.920.000.000;-81.318.893.430.000.000;5.000.000.000.000.000;4.423.100.480.000.000;57.000.000.000.000.000;56.000.000.000.000.000;57.000.000.000.000.000;56.000.000.000.000.000;1.059.277.590.000.000;263.611.007.700.000.000;4.316.479.210.000.000;0.695428670000000;2.937.135.220.000.000;27/4/16 07:08
200;27/4/16 18:29;356.197.000.000.000.000.000;0.709489920000000;-0.230580750000000;-80.982.604.980.000.000;10.000.000.000.000.000;4.033.366.320.000.000;48.000.000.000.000.000;48.000.000.000.000.000;47.000.000.000.000.000;47.000.000.000.000.000;0.897927280000000;258.624.931.300.000.000;3.820.662.970.000.000;0.774977740000000;2.637.803.080.000.000;27/4/16 18:29
201;27/4/16 21:45;386.559.000.000.000.000.000;0.701725780000000;-1.201.490.760.000.000;-81.232.307.430.000.000;10.000.000.000.000.000;4.258.187.200.000.000;38.000.000.000.000.000;38.000.000.000.000.000;35.000.000.000.000.000;35.000.000.000.000.000;1.031.593.500.000.000;254.356.643.700.000.000;3.774.808.410.000.000;0.570342420000000;2.779.199.120.000.000;27/4/16 21:45
202;27/4/16 23:02;653.394.000.000.000.000.000;1.042.553.940.000.000;-1.270.040.150.000.000;-81.079.841.610.000.000;10.000.000.000.000.000;4.389.542.260.000.000;57.000.000.000.000.000;57.000.000.000.000.000;55.000.000.000.000.000;55.000.000.000.000.000;0.939741060000000;254.876.804.400.000.000;4.088.878.150.000.000;0.409100710000000;2.703.991.180.000.000;27/4/16 23:02
203;28/4/16 08:45;30.316.000.000.000.000.000;0.562094780000000;-0.229612160000000;-80.969.757.079.999.800;10.000.000.000.000.000;3.660.290.070.000.000;50.000.000.000.000.000;49.000.000.000.000.000;46.000.000.000.000.000;45.000.000.000.000.000;0.895820850000000;256.843.391.399.999.000;3.500.854.010.000.000;0.744631470000000;2.591.184.850.000.000;28/4/16 08:45
204;28/4/16 10:24;867.189.000.000.000.000.000;0.470139050000000;-1.515.601.400.000.000;-80.942.047.119.999.800;10.000.000.000.000.000;3.629.312.400.000.000;54.000.000.000.000.000;45.000.000.000.000.000;52.000.000.000.000.000;44.000.000.000.000.000;1.034.108.950.000.000;226.703.903.200.000.000;3.800.563.810.000.000;0.169409620000000;2.592.294.460.000.000;28/4/16 10:24
205;28/4/16 10:33;647.435.000.000.000.000.000;0.788901060000000;-1.312.424.060.000.000;-81.091.415.409.999.800;10.000.000.000.000.000;4.606.248.990.000.000;46.000.000.000.000.000;40.000.000.000.000.000;44.000.000.000.000.000;40.000.000.000.000.000;0.962736930000000;251.647.430.399.999.000;3.326.467.990.000.000;0.391570420000000;2.679.436.680.000.000;28/4/16 10:33
206;28/4/16 15:05;693.667.000.000.000.000.000;0.523072040000000;-0.458407790000000;-80.440.620.420.000.000;8.526.160.239.999.990;3.717.755.800.000.000;64.000.000.000.000.000;54.000.000.000.000.000;60.000.000.000.000.000;51.000.000.000.000.000;0.848312720000000;213.587.120.099.999.000;3.915.461.780.000.000;0.299518350000000;2.177.934.890.000.000;28/4/16 15:05
207;29/4/16 01:50;770.081.000.000.000.000.000;0.487978570000000;-1.500.558.500.000.000;-80.953.598.020.000.000;5.000.000.000.000.000;5.031.945.520.000.000;62.000.000.000.000.000;62.000.000.000.000.000;60.000.000.000.000.000;60.000.000.000.000.000;1.007.846.580.000.000;230.392.120.400.000.000;3.798.014.160.000.000;0.183795560000000;2.655.471.560.000.000;29/4/16 01:50
208;29/4/16 02:37;356.514.000.000.000.000.000;0.503084440000000;-1.542.152.290.000.000;-80.862.258.909.999.800;10.000.000.000.000.000;4.072.187.510.000.000;48.000.000.000.000.000;48.000.000.000.000.000;46.000.000.000.000.000;46.000.000.000.000.000;0.983909630000000;242.636.150.399.999.000;4.078.114.030.000.000;0.087170360000000;2.599.400.280.000.000;29/4/16 02:37
209;29/4/16 23:42;434.985.000.000.000.000.000;0.294873760000000;-2.469.609.020.000.000;-79.108.276.369.999.800;3.755.038.500.000.000;3.894.515.910.000.000;39.000.000.000.000.000;21.000.000.000.000.000;37.000.000.000.000.000;19.000.000.000.000.000;0.605750270000000;83.692.810.059.999.900;1.453.738.450.000.000;0.508929850000000;1.147.708.770.000.000;29/4/16 23:42
210;30/4/16 01:44;58.167.000.000.000.000.000;0.438523640000000;0.139302220000000;-80.110.061.650.000.000;2.396.759.990.000.000;4.279.550.180.000.000;77.000.000.000.000.000;63.000.000.000.000.000;76.000.000.000.000.000;62.000.000.000.000.000;1.152.401.670.000.000;184.337.036.100.000.000;3.087.753.300.000.000;0.396029320000000;1.958.492.870.000.000;30/4/16 01:44
211;1/5/16 01:49;751.266.000.000.000.000.000;0.487712090000000;0.323141810000000;-80.177.383.419.999.800;5.427.134.990.000.000;4.454.500.860.000.000;81.000.000.000.000.000;78.000.000.000.000.000;77.000.000.000.000.000;74.000.000.000.000.000;0.845485610000000;198.856.601.700.000.000;3.846.702.580.000.000;0.562704800000000;2.081.334.350.000.000;1/5/16 01:49
212;1/5/16 06:43;832.694.000.000.000.000.000;0.634742880000000;-0.355193850000000;-80.495.918.270.000.000;7.414.894.580.000.000;3.791.715.120.000.000;64.000.000.000.000.000;58.000.000.000.000.000;58.000.000.000.000.000;53.000.000.000.000.000;1.037.362.010.000.000;223.625.934.599.999.000;2.906.759.260.000.000;0.300225410000000;2.103.714.230.000.000;1/5/16 06:43
